Mirror-M1-vertical-adjuster-points_r1-1 ,,,,,,,,,,
Original half of reflector ,,,,,,Mirror adjuster ,,,,
Panel ,Adjuster ,x ,y ,z ,,Panel2,Adjuster2,X2,Y2,Z2
11751,V2 ,1146.66853,220.00338,-3014.5234,,11751,V2 ,<-- ,,
11751,V3 ,,,--> ,,11751,V3 ,1589.52499,-220.00332,-2782.39419
11751,V4 ,1589.52499,220.00332,-2782.39419,,11751,V4 ,<-- ,,
11751,V5 ,1368.44712,0,-2899.1271,,11751,V5 ,<-- ,,
,,,,,,,,,,
11811,V1 ,1791.26588,2464.98017,-2623.36536,,11891,V1 ,1782.95468,-2904.63204,-2607.78414
11811,V2 ,1782.95468,2904.63204,-2607.78414,,11891,V2 ,1791.26588,-2464.98017,-2623.36536
11811,V3 ,2232.30707,2464.97005,-2387.80513,,11891,V3 ,2224.08888,-2904.62895,-2372.40004
11811,V4 ,2224.08888,2904.62895,-2372.40004,,11891,V4 ,2232.30707,-2464.97005,-2387.80513
11811,V5 ,2007.97504,2684.83026,-2498.43927,,11891,V5 ,2007.97504,-2684.83026,-2498.43927
,,,,,,,,,,
11821,V1 ,1800.92034,1793.70332,-2642.77935,,11881,V1 ,1794.57566,-2233.50393,-2630.90193
11821,V2 ,1794.57566,2233.50393,-2630.90193,,11881,V2 ,1800.92034,-1793.70332,-2642.77935
11821,V3 ,2241.84531,1793.69729,-2407.00163,,11881,V3 ,2235.57347,-2233.50183,-2395.26199
11821,V4 ,2235.57347,2233.50183,-2395.26199,,11881,V4 ,2241.84531,-1793.69729,-2407.00163
11821,V5 ,2018.56069,2013.62324,-2519.60685,,11881,V5 ,2018.56069,-2013.62324,-2519.60685
,,,,,,,,,,
11831,V1 ,1807.5922,1122.44517,-2656.24394,,11871,V1 ,1803.31003,-1562.35828,-2648.23659
Mirror-M1-vertical-adjuster-points_r1-1 ,,,,,,,,,,
11831,V2 ,1803.31003,1562.35828,-2648.23659,,11871,V2 ,1807.5922,-1122.44517,-2656.24394
11831,V3 ,2248.43506,1122.44244,-2420.31289,,11871,V3 ,2244.2029,-1562.35706,-2412.4001
11831,V4 ,2244.2029,1562.35706,-2412.4001,,11871,V4 ,2248.43506,-1122.44244,-2420.31289
11831,V5 ,2026.22464,1342.41565,-2534.93275,,11871,V5 ,2026.22464,-1342.41565,-2534.93275
,,,,,,,,,,
11841,V1 ,1811.19229,451.209,-2663.57738,,11861,V1 ,1809.03551,-891.19198,-2659.54746
11841,V2 ,1809.03551,891.19198,-2659.54746,,11861,V2 ,1811.19229,-451.209,-2663.57738
11841,V3 ,2251.98991,451.20833,-2427.5623,,11861,V3 ,2249.85859,-891.19146,-2423.58047
11841,V4 ,2249.85859,891.19146,-2423.58047,,11861,V4 ,2251.98991,-451.20833,-2427.5623
11841,V5 ,2030.86311,671.2078,-2544.20928,,11861,V5 ,2030.86311,-671.2078,-2544.20928
,,,,,,,,,,
11851,V1 ,,,--> ,,11851,V1 ,1811.67451,-220.00324,-2664.68358
11851,V2 ,1811.67451,220.00324,-2664.68358,,11851,V2 ,<-- ,,
11851,V3 ,,,--> ,,11851,V3 ,2252.46537,-220.00315,-2428.65645
