Mirror-M2-horizontal-adjuster-points_r1-1,,,,,,,,,,
Originalhalfofreflector,,,,,Mirroradjuster,,,,,
Panel,Adjuster,x,y,z,,Panel2,Adjuster2,X2,Y2,Z2
12871,H1,-4138.3976,1402.44369,1764.35899,,12831,H1,-4138.3976,-1402.44369,1764.35899
12871,H2,-3954.6391,1402.4544,2229.36747,,12831,H2,-3954.6391,-1402.4544,2229.36747
12871,H3,-4021.53209,1402.48091,2062.2573,,12831,H3,-4021.53209,-1402.48091,2062.2573
,,,,,,,,,,
12881,H1,-4106.33245,2103.66765,1753.70026,,12821,H1,-4106.33245,-2103.66765,1753.70026
12881,H2,-3922.01896,2103.69038,2218.48913,,12821,H2,-3922.01896,-2103.69038,2218.48913
12881,H3,-3989.11571,2103.72853,2051.4608,,12821,H3,-3989.11571,-2103.72853,2051.4608
,,,,,,,,,,
12951,H1,-3900.55713,0,2435.08123,,,,,,
12951,H2,-3707.89896,0,2896.4735,,,,,,
12951,H3,-3778.03322,0,2730.69695,,,,,,
,,,,,,,,,,
12961,H1,-3894.05729,701.22483,2432.9298,,12941,H1,-3894.05729,-701.22483,2432.9298
12961,H2,-3701.27377,701.22837,2894.26975,,12941,H2,-3701.27377,-701.22837,2894.26975
12961,H3,-3771.45377,701.24348,2728.51278,,12941,H3,-3771.45377,-701.24348,2728.51278
,,,,,,,,,,
12971,H1,-3874.48278,1402.45028,2426.43425,,12931,H1,-3874.48278,-1402.45028,2426.43425
12971,H2,-3681.32397,1402.46264,2887.61727,,12931,H2,-3681.32397,-1402.46264,2887.61727
12971,H3,-3751.6412,1402.49125,2721.91867,,12931,H3,-3751.6412,-1402.49125,2721.91867
