Mirror-M1-horizontal-adjuster-points_r1-1,,,,,,,,,,
Originalhalfofreflector,,,,,,Mirroradjuster,,,,
Panel,Adjuster,x,y,z,,Panel2,Adjuster2,X2,Y2,Z2
11731,H1,1140.52566,1342.40984,-3002.218,,11771,H1,1140.52566,-1342.40984,-3002.218
11731,H2,1583.43841,1342.40822,-2770.20873,,11771,H2,1583.43841,-1342.40822,-2770.20873
11731,H3,1424.14889,1342.4159,-2854.03586,,11771,H3,1424.14889,-1342.4159,-2854.03586
,,,,,,,,,,
11741,H1,1145.26231,671.20477,-3011.68847,,11761,H1,1145.26231,-671.20477,-3011.68847
11741,H2,1588.12789,671.20428,-2779.58919,,11761,H2,1588.12789,-671.20428,-2779.58919
11741,H3,1428.85627,671.20804,-2863.45028,,11761,H3,1428.85627,-671.20804,-2863.45028
,,,,,,,,,,
11751,H1,1146.84812,0,-3014.85975,,,,,,
11751,H2,1589.69768,0,-2782.7299,,,,,,
11751,H3,1430.43215,0,-2866.6025,,,,,,
,,,,,,,,,,
11811,H1,1787.26965,2684.81902,-2615.86788,,11891,H1,1787.26965,-2684.81902,-2615.86788
11811,H2,2228.35097,2684.81262,-2380.39538,,11891,H2,2228.35097,-2684.81262,-2380.39538
11811,H3,2069.71285,2684.82764,-2465.44885,,11891,H3,2069.71285,-2684.82764,-2465.44885
,,,,,,,,,,
11821,H1,1797.91644,2013.61405,-2637.15015,,11881,H1,1797.91644,-2013.61405,-2637.15015
11821,H2,2238.87111,2013.61012,-2401.4406,,11881,H2,2238.87111,-2013.61012,-2401.4406
11821,H3,2080.28066,2013.62134,-2486.58288,,11881,H3,2080.28066,-2013.62134,-2486.58288
,,,,,,,,,,
11831,H1,1805.62584,1342.40903,-2652.56111,,11871,H1,1805.62584,-1342.40903,-2652.56111
11831,H2,2246.48678,1342.40711,-2416.6763,,11871,H2,2246.48678,-1342.40711,-2416.6763
11831,H3,2087.93148,1342.41446,-2501.88397,,11871,H3,2087.93148,-1342.41446,-2501.88397
,,,,,,,,,,
11841,H1,1810.2923,671.20425,-2661.88991,,11861,H1,1810.2923,-671.20425,-2661.88991
11841,H2,2251.09569,671.20368,-2425.89759,,11861,H2,2251.09569,-671.20368,-2425.89759
11841,H3,2092.56192,671.20726,-2511.14527,,11861,H3,2092.56192,-671.20726,-2511.14527
,,,,,,,,,,
11851,H1,1811.85411,0,-2665.01327,,,,,,
11851,H2,2252.6381,0,-2428.98473,,,,,,
11851,H3,2094.1116,0,-2514.24587,,,,,,
,,,,,,,,,,
11921,H1,2460.23982,2013.61286,-2281.90891,,11981,H1,2460.23982,-2013.61286,-2281.90891
11921,H2,2899.22397,2013.60835,-2042.54947,,11981,H2,2899.22397,-2013.60835,-2042.54947
11921,H3,2741.33737,2013.61909,-2128.98993,,11981,H3,2741.33737,-2013.61909,-2128.98993
,,,,,,,,,,
11931,H1,2467.81308,1342.40801,-2297.04469,,11871,H1,2467.81308,-1342.40801,-2297.04469
11931,H2,2906.68669,1342.40584,-2057.48266,,11871,H2,2906.68669,-1342.40584,-2057.48266
11931,H3,2748.84126,1342.41282,-2143.99822,,11871,H3,2748.84126,-1342.41282,-2143.99822
,,,,,,,,,,
11941,H1,2472.396,671.20366,-2306.20506,,11961,H1,2472.396,-671.20366,-2306.20506
11941,H2,2911.20249,671.20302,-2066.52011,,11961,H2,2911.20249,-671.20302,-2066.52011
11941,H3,2753.38202,671.20638,-2153.08114,,11961,H3,2753.38202,-671.20638,-2153.08114
,,,,,,,,,,
11951,H1,2473.92945,0,-2309.27185,,,,,,
11951,H2,2912.71342,0,-2069.54569,,,,,,
11951,H3,2754.90133,0,-2156.12195,,,,,,
